u,v,key,osmid,highway,junction,oneway,reversed,length,geometry,name,maxspeed,lanes,width
21592072,100928118,0,11346466,tertiary,roundabout,True,False,16.363999999999997,"LINESTRING (153.0429241 -27.4703245, 153.0429502 -27.4703063, 153.0429814 -27.4702963, 153.0430145 -27.4702954, 153.0430463 -27.4703038, 153.0430735 -27.4703207)",,,,
21592072,100928095,0,73532286,residential,,False,True,129.974,"LINESTRING (153.0429241 -27.4703245, 153.0428886 -27.4702763, 153.0422031 -27.4693462)",Moray Street,50,,
21616792,100950118,0,28994289,tertiary,,False,True,100.763,"LINESTRING (153.0411441 -27.4577107, 153.0403789 -27.4571106)",James Street,50,2,
21616792,26336287,0,28994289,tertiary,,False,False,115.774,"LINESTRING (153.0411441 -27.4577107, 153.0412406 -27.4577865, 153.0414392 -27.4579416, 153.0420226 -27.4584009)",James Street,50,2,
21616792,21616933,0,"[838016752, 19569381, 838016751]",residential,,False,True,465.164,"LINESTRING (153.0411441 -27.4577107, 153.0410903 -27.4577655, 153.0408125 -27.458054, 153.0391121 -27.4597671, 153.0385251 -27.4603546, 153.0383566 -27.4605268, 153.0381209 -27.4607638, 153.0380871 -27.4607887, 153.0380176 -27.4608398)",Arthur Street,50,,
21616933,21616792,0,"[838016752, 19569381, 838016751]",residential,,False,False,465.16400000000004,"LINESTRING (153.0380176 -27.4608398, 153.0380871 -27.4607887, 153.0381209 -27.4607638, 153.0383566 -27.4605268, 153.0385251 -27.4603546, 153.0391121 -27.4597671, 153.0408125 -27.458054, 153.0410903 -27.4577655, 153.0411441 -27.4577107)",Arthur Street,50,,
21616933,26336288,0,1252285820,secondary,,False,False,118.357,"LINESTRING (153.0380176 -27.4608398, 153.0381126 -27.4609141, 153.0381369 -27.4609331, 153.0388328 -27.4614791, 153.0389172 -27.4615439)",Brunswick Street,50,4,
26336287,363426095,0,28994289,tertiary,,False,False,111.318,"LINESTRING (153.0420226 -27.4584009, 153.0428713 -27.4590605)",James Street,50,2,
26336287,26336288,0,8028127,residential,,False,True,464.835,"LINESTRING (153.0420226 -27.4584009, 153.0419686 -27.4584553, 153.0389838 -27.4614618, 153.0389672 -27.4614824, 153.0389172 -27.4615439)",Harcourt Street,50,,
26336287,21616792,0,28994289,tertiary,,False,True,115.77399999999999,"LINESTRING (153.0420226 -27.4584009, 153.0414392 -27.4579416, 153.0412406 -27.4577865, 153.0411441 -27.4577107)",James Street,50,2,
26336288,26336287,0,8028127,residential,,False,False,464.835,"LINESTRING (153.0389172 -27.4615439, 153.0389672 -27.4614824, 153.0389838 -27.4614618, 153.0419686 -27.4584553, 153.0420226 -27.4584009)",Harcourt Street,50,,
26336288,26336337,0,8028127,residential,,False,True,131.518,"LINESTRING (153.0389172 -27.4615439, 153.0388652 -27.4616071, 153.0388505 -27.461625, 153.0380933 -27.4623961, 153.0380747 -27.462415, 153.0380491 -27.462441)",Harcourt Street,50,,
26336288,26336289,0,9559269,secondary,,False,False,116.44600000000001,"LINESTRING (153.0389172 -27.4615439, 153.0389865 -27.4615983, 153.0390105 -27.4616171, 153.0394109 -27.4619273, 153.039715 -27.4621671, 153.0397365 -27.4621844, 153.0398019 -27.462237)",Brunswick Street,50,4,
26336288,21616933,0,1252285820,secondary,,False,True,118.357,"LINESTRING (153.0389172 -27.4615439, 153.0388328 -27.4614791, 153.0381369 -27.4609331, 153.0381126 -27.4609141, 153.0380176 -27.4608398)",Brunswick Street,50,4,
26336289,26336291,0,9559269,secondary,,False,False,85.787,"LINESTRING (153.0398019 -27.462237, 153.0398911 -27.4623068, 153.0399143 -27.462325, 153.0402218 -27.4625633, 153.0404553 -27.462746)",Brunswick Street,50,4,
26336289,26336288,0,9559269,secondary,,False,True,116.44600000000001,"LINESTRING (153.0398019 -27.462237, 153.0397365 -27.4621844, 153.039715 -27.4621671, 153.0394109 -27.4619273, 153.0390105 -27.4616171, 153.0389865 -27.4615983, 153.0389172 -27.4615439)",Brunswick Street,50,4,
26336289,363426205,0,27600524,tertiary,,False,False,458.37300000000005,"LINESTRING (153.0398019 -27.462237, 153.0398645 -27.4621824, 153.0398848 -27.4621647, 153.0401038 -27.4619433, 153.0428401 -27.4591834, 153.0428763 -27.4591469)",Kent Street,50,,
26336289,9949476155,0,1085833486,residential,,False,True,118.35300000000001,"LINESTRING (153.0398019 -27.462237, 153.0397391 -27.4622889, 153.03972 -27.4623046, 153.0394737 -27.462555, 153.039005 -27.4630319)",Kent Street,50,,
