u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
21592072,100928118,,tertiary,True,16.363999999999997,,,,roundabout,,,,,,0
21592072,100928095,Moray Street,residential,False,129.974,,,,,50.0,,,,,1
21616792,100950118,James Street,tertiary,False,100.763,2.0,,,,50.0,,,,,2
21616792,26336287,James Street,tertiary,False,115.774,2.0,,,,50.0,,,,,3
21616792,21616933,Arthur Street,residential,False,465.164,,,,,50.0,,,,,4
21616933,21616792,Arthur Street,residential,False,465.164,,,,,50.0,,,,,5
21616933,26336288,Brunswick Street,secondary,False,118.357,4.0,,,,50.0,,,,,6
26336287,363426095,James Street,tertiary,False,111.318,2.0,,,,50.0,,,,,7
26336287,26336288,Harcourt Street,residential,False,464.835,,,,,50.0,,,,,8
26336287,21616792,James Street,tertiary,False,115.774,2.0,,,,50.0,,,,,9
26336288,26336287,Harcourt Street,residential,False,464.835,,,,,50.0,,,,,10
26336288,26336337,Harcourt Street,residential,False,131.518,,,,,50.0,,,,,11
26336288,26336289,Brunswick Street,secondary,False,116.446,4.0,,,,50.0,,,,,12
26336288,21616933,Brunswick Street,secondary,False,118.357,4.0,,,,50.0,,,,,13
26336289,26336291,Brunswick Street,secondary,False,85.787,4.0,,,,50.0,,,,,14
26336289,26336288,Brunswick Street,secondary,False,116.446,4.0,,,,50.0,,,,,15
26336289,363426205,Kent Street,tertiary,False,458.3730000000001,,,,,50.0,,,,,16
26336289,9949476155,Kent Street,residential,False,118.353,,,,,50.0,,,,,17
26336291,26336292,Brunswick Street,secondary,False,38.732,4.0,,,,50.0,,,,,18
26336291,26336289,Brunswick Street,secondary,False,85.78699999999999,4.0,,,,50.0,,,,,19
26336291,6275530526,Bowen Street,residential,False,46.988,,,,,50.0,,,,,20
26336292,26336368,Brunswick Street,secondary,False,62.923,4.0,,,,50.0,,,,,21
26336292,26336291,Brunswick Street,secondary,False,38.732,4.0,,,,50.0,,,,,22
26336292,303071989,Terrace Street,residential,False,53.163,,,,,,,,,,23
26336293,26336315,Terrace Street,residential,False,228.879,,,,,,,,,,24
26336293,554230434,Gibbon Street,residential,False,57.351000000000006,,,,,,,,,,25
26336293,363426182,James Street,tertiary,False,116.586,,,,,,,,,,26
26336293,26336319,James Street,tertiary,False,119.153,,,,,60.0,,,,,27
26336315,303071806,Terrace Street,residential,False,64.581,,,,,,,,,,28
26336315,26336316,Clay Street,residential,False,119.116,,,,,,,,,,29
26336315,26336293,Terrace Street,residential,False,228.879,,,,,,,,,,30
26336316,26336315,Clay Street,residential,False,119.116,,,,,,,,,,31
26336316,26336319,Heal Street,residential,False,230.946,,,,,,,,,,32
26336316,26336318,Heal Street,residential,False,232.86,,,,,,,,,,33
26336316,26336317,Clay Street,residential,False,133.079,,,,,,,,,,34
26336317,26336320,Annie Street,tertiary,False,230.107,,,,,,,,,,35
26336317,26336316,Clay Street,residential,False,133.079,,,,,,,,,,36
26336317,100927821,Annie Street,tertiary,False,232.608,,,,,,,,,,37
26336318,26336368,Brunswick Street,secondary,False,55.742,4.0,,,,50.0,,,,,38
26336318,26336316,Heal Street,residential,False,232.86,,,,,,,,,,39
26336318,100927821,Brunswick Street,secondary,False,133.884,4.0,,,,50.0,,,,,40
26336319,1470286603,James Street,tertiary,False,110.171,,,,,60.0,,,,,41
26336319,26336347,Heal Street,residential,False,113.573,,,,,,,,,,42
26336319,26336316,Heal Street,residential,False,230.94600000000003,,,,,,,,,,43
26336319,26336293,James Street,tertiary,False,119.153,,,,,60.0,,,,,44
26336320,26336317,Annie Street,tertiary,False,230.107,,,,,,,,,,45
26336320,1470286603,James Street,tertiary,False,22.245,,,,,60.0,,,,,46
26336320,26336338,Annie Street,residential,False,100.688,,,,,,,,,,47
26336320,200798028,James Street,tertiary,False,117.879,,,,,,,,,,48
26336326,100950165,Villiers Street,residential,False,36.715,,,,,,,,,,49
26336326,26336327,Villiers Street,residential,False,101.162,,,,,,,,,,50
26336326,100950129,James Street,tertiary,False,160.886,,,,,,,,,,51
26336326,200798029,James Street,tertiary,False,159.62400000000002,,,,,,,,,,52
26336327,200799161,Villiers Street,residential,False,100.63,,,,,,,,,,53
26336327,170851355,Hawthorne Street,residential,False,159.956,,,,,,,,,,54
26336327,26336340,Hawthorne Street,residential,False,167.942,,,,,,,,,,55
26336327,26336326,Villiers Street,residential,False,101.162,,,,,,,,,,56
26336328,26336348,Beeston Street,residential,False,131.243,,,,,,,,,,57
26336328,26336329,Gibbon Street,residential,False,75.816,,,,,,,,,,58
26336328,554230434,Gibbon Street,residential,False,118.828,,,,,,,,,,59
26336329,200762420,Little Chester Street,residential,False,32.312,,,,,,,,,,60
26336329,200760369,"['Chester Street', 'Gibbon Street']",residential,False,57.80799999999999,,,,,,,,,,61
26336329,26336328,Gibbon Street,residential,False,75.816,,,,,,,,,,62
26336337,26336288,Harcourt Street,residential,False,131.518,,,,,50.0,,,,,63
26336337,4416254158,Bowen Terrace,residential,True,108.983,1.0,,,,50.0,,,,,64
26336338,200798413,Annie Street,residential,False,79.141,,,,,,,,,,65
26336338,26336340,Hawthorne Street,residential,False,125.65,,,,,,,,,,66
26336338,26336320,Annie Street,residential,False,100.688,,,,,,,,,,67
26336340,200799170,Browne Street,residential,False,97.684,,,,,,,,,,68
26336340,26336327,Hawthorne Street,residential,False,167.942,,,,,,,,,,69
26336340,26336338,Hawthorne Street,residential,False,125.65,,,,,,,,,,70
26336340,303071985,Browne Street,residential,False,93.313,,,,,,,,,,71
26336346,6275530526,Bowen Street,residential,True,83.395,1.0,,,,50.0,,,,,72
26336346,26336386,Bowen Terrace,residential,False,17.398,,,,,50.0,,,,,73
26336347,26336319,Heal Street,residential,False,113.573,,,,,,,,,,74
26336348,26336328,Beeston Street,residential,False,131.243,,,,,,,,,,75
26336348,201294786,Beeston Street,residential,True,34.694,,,,,,,,,,76
26336349,201294786,Beeston Street,residential,False,4.791,,,,,,,,,,77
26336349,26336348,Beeston Street,residential,True,36.078,,,,,,,,,,78
26336368,26336318,Brunswick Street,secondary,False,55.742,4.0,,,,50.0,,,,,79
26336368,26336292,Brunswick Street,secondary,False,62.923,4.0,,,,50.0,,,,,80
26336368,26336387,Balfour Street,residential,False,125.165,,,,,50.0,,,,,81
26336386,100928045,Moray Street,residential,False,343.435,,,,,50.0,,,,,82
26336386,26336387,Bowen Terrace,residential,False,87.26600000000002,,,,,50.0,,,,,83
26336386,26336346,Bowen Terrace,residential,False,17.398,,,,,50.0,,,,,84
26336387,26336368,Balfour Street,residential,False,125.165,,,,,50.0,,,,,85
26336387,11640495688,Bowen Terrace,residential,False,188.61300000000003,,,,,50.0,,,,,86
26336387,26336386,Bowen Terrace,residential,False,87.266,,,,,50.0,,,,,87
