osmid,y,x
21592072,-27.4703245,153.0429241
21616792,-27.4577107,153.0411441
21616933,-27.4608398,153.0380176
26336287,-27.4584009,153.0420226
26336288,-27.4615439,153.0389172
26336289,-27.462237,153.0398019
26336291,-27.462746,153.0404553
26336292,-27.4629746,153.0407515
26336293,-27.4598514,153.0438363
26336315,-27.4613941,153.0423006
26336316,-27.4621017,153.043207
26336317,-27.4628919,153.04422
26336318,-27.4636792,153.0416548
26336319,-27.460545,153.0447563
26336320,-27.4613368,153.0457587
26336326,-27.4630857,153.0479845
26336327,-27.4624037,153.0486631
26336328,-27.4586653,153.0450094
26336329,-27.4581393,153.0454914
26336337,-27.462441,153.0380491
26336338,-27.4606565,153.0464322
26336340,-27.4614001,153.0473911
26336346,-27.4636399,153.0396085
26336347,-27.4597786,153.045517
26336348,-27.4594508,153.0460019
26336349,-27.4595581,153.0463305
26336368,-27.4633483,153.0412304
26336386,-27.463747,153.0397365
26336387,-27.4642073,153.0404316
100927821,-27.4644722,153.0426759
100927842,-27.4652122,153.04363
100927858,-27.465606,153.0441355
100927875,-27.4662148,153.0449218
100927887,-27.4663516,153.0450968
100927898,-27.4671598,153.0461492
100927910,-27.4678793,153.0470724
100927922,-27.4685564,153.0479512
100927938,-27.4685536,153.0480406
100927954,-27.4686379,153.0480448
100927968,-27.4703236,153.050226
100928045,-27.4662584,153.0409517
100928063,-27.4677559,153.0413194
100928077,-27.4683341,153.0414877
100928095,-27.4693462,153.0422031
100928118,-27.4703207,153.0430735
100928202,-27.4665405,153.0432444
100928218,-27.4672875,153.0442035
100928237,-27.4675808,153.0445864
100928269,-27.4680889,153.0452443
100928288,-27.4695112,153.0471094
100928335,-27.4681268,153.0408847
100928352,-27.4686275,153.0429014
100928369,-27.4682135,153.0432998
100928385,-27.4694305,153.0439362
100928394,-27.4689995,153.0425428
100928410,-27.4699697,153.0434143
100928451,-27.4685129,153.0436848
100928470,-27.4690167,153.0443409
100928997,-27.4701903,153.0464502
100929015,-27.4686392,153.0479518
100929041,-27.4668221,153.0446584
100929065,-27.4676254,153.045695
100929089,-27.4687577,153.0445912
100950118,-27.4571106,153.0403789
100950120,-27.4629062,153.0459102
100950126,-27.4638993,153.0471701
100950129,-27.4640423,153.0492079
100950130,-27.4647549,153.0501282
100950140,-27.4665264,153.051634
100950144,-27.4669416,153.0521602
100950148,-27.4678304,153.0533472
100950165,-27.4633261,153.0477297
100950170,-27.4636005,153.0474647
100950173,-27.4641354,153.0469402
100950176,-27.4644609,153.0466236
100950178,-27.4647076,153.0463867
100950181,-27.4655562,153.0455401
100950187,-27.4639009,153.0458698
100950191,-27.4627742,153.0469772
100950195,-27.4645637,153.0487012
100950200,-27.465103,153.0481689
100950204,-27.4656491,153.0476318
100950209,-27.4665176,153.0467786
100950212,-27.4660054,153.0461301
100950217,-27.4651442,153.0469619
100950222,-27.4661373,153.048781
100950223,-27.4654213,153.0478562
100950225,-27.4668428,153.0496951
100960142,-27.4675204,153.0506487
130077597,-27.4674554,153.0528101
130087805,-27.4697927,153.0435867
130087812,-27.4702454,153.0441779
170851355,-27.463357,153.0498772
170851357,-27.4631197,153.050107
170851484,-27.4628212,153.0502621
170856227,-27.4622675,153.050224
170856232,-27.4590301,153.0501088
200760369,-27.4577619,153.0452102
200762420,-27.4583305,153.045738
200798028,-27.4620392,153.0466535
200798029,-27.4621321,153.0467752
200798413,-27.4601152,153.046953
200799161,-27.4617244,153.049337
200799162,-27.461563,153.0491317
200799166,-27.4610445,153.048455
200799170,-27.460738,153.0480418
200799171,-27.4605569,153.0478012
200802216,-27.4621344,153.0466574
201214373,-27.4578353,153.046233
201273130,-27.4579647,153.046396
201283568,-27.4599483,153.0469942
201283569,-27.4600625,153.0471229
201283573,-27.4601489,153.0473139
201287031,-27.4609479,153.0491639
201289579,-27.4591334,153.047389
201294786,-27.4595164,153.0463427
201313805,-27.4608983,153.0496793
201313808,-27.460857,153.0501206
203237869,-27.4592342,153.0470398
203237971,-27.4608628,153.0482997
228462766,-27.4639865,153.0448224
228463674,-27.4651053,153.0442968
228464712,-27.4650537,153.0446367
303071803,-27.4614947,153.0414335
303071806,-27.461828,153.0418655
303071807,-27.4621737,153.042305
303071808,-27.4622788,153.0406785
303071936,-27.4654444,153.0466741
303071943,-27.4659598,153.0473283
303071985,-27.46203,153.0467662
303071989,-27.4626052,153.0410931
303299369,-27.4670363,153.0427495
303299545,-27.4663355,153.0418747
303299809,-27.4666756,153.0422874
318624938,-27.4588032,153.0467784
318625191,-27.4654835,153.0511544
318625511,-27.4572913,153.0447048
318625512,-27.4573893,153.0447261
318625515,-27.4573842,153.0446124
318625526,-27.4573042,153.0446191
318625624,-27.4655636,153.0511217
318625627,-27.4655554,153.051028
318625631,-27.4654491,153.0510361
363426095,-27.4590605,153.0428713
363426148,-27.4590587,153.0429635
363426182,-27.4591391,153.0429693
363426205,-27.4591469,153.0428763
499943068,-27.465883,153.0413072
499943083,-27.4677423,153.0420778
499943491,-27.4671044,153.0411338
554230434,-27.4594574,153.0442114
554230449,-27.4585124,153.0443792
778867198,-27.4625485,153.0506755
1470286504,-27.4606813,153.0448093
1470286603,-27.4612054,153.0455887
2358200532,-27.4645344,153.0435576
2358200533,-27.4648539,153.0439734
3798145737,-27.4677876,153.0523891
4416254158,-27.4630578,153.0388948
6275530526,-27.4630653,153.0401445
6654284506,-27.4577652,153.0458917
9119007307,-27.4681148,153.052667
9949476155,-27.4630319,153.039005
9949476162,-27.4631236,153.038963
11640495688,-27.465403,153.0417744
