u,v,,,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width,ref,access
31179466,962356923,31179466962356923,#N/A,0,10741734,TRUE,2,Καματερού,primary,FALSE,6.341,"LINESTRING (23.726682 37.9871724, 23.7267319 37.9871311)",,,,
31179466,97834761,3117946697834761,#N/A,0,384593008,TRUE,2,Μάρνη,secondary,FALSE,25.295,"LINESTRING (23.726682 37.9871724, 23.7265929 37.9871202, 23.7264514 37.9870356)",,,,
31179468,250921080,31179468250921080,#N/A,0,10741731,TRUE,,Σατωβριάνδου,residential,FALSE,15.665,"LINESTRING (23.7241204 37.9856434, 23.7242961 37.9856175)",,,,
31179468,6693568141,311794686693568141,311794686693568141,0,10976435,FALSE,4,Μάρνη,secondary,FALSE,61.072,"LINESTRING (23.7241204 37.9856434, 23.7246801 37.9859706)",,,,
42240105,250691272,42240105250691272,#N/A,0,789796816,TRUE,,Καραγιώργη Σερβίας,residential,FALSE,82.44600000000001,"LINESTRING (23.7343793 37.9761998, 23.7340812 37.9762601, 23.7338002 37.9763107, 23.7337544 37.9763175, 23.7336867 37.9763254, 23.7334596 37.9763519)",,,,
95663374,95663419,9566337495663419,#N/A,0,634244587,TRUE,,Ακομινάτου,residential,FALSE,60.295,"LINESTRING (23.723325 37.9863552, 23.7234789 37.9868837)",30,6.2,,
95663375,95663504,9566337595663504,#N/A,0,10741726,TRUE,,Βίκτωρος Ουγκώ,residential,FALSE,13.415,"LINESTRING (23.7249236 37.9861129, 23.7248228 37.9861259, 23.7247728 37.9861335)",,,,
95663375,844627879,95663375844627879,95663375844627879,0,10976435,FALSE,4,Μάρνη,secondary,FALSE,33.934,"LINESTRING (23.7249236 37.9861129, 23.725086 37.9862079, 23.7251001 37.9862161, 23.7252346 37.9862947)",,,,
95663375,6693568141,956633756693568141,956633756693568141,0,10976435,FALSE,4,Μάρνη,secondary,TRUE,26.566000000000003,"LINESTRING (23.7249236 37.9861129, 23.7248266 37.9860562, 23.7248063 37.9860443, 23.7246801 37.9859706)",,,,
95663376,95663377,9566337695663377,#N/A,0,10741722,TRUE,2,Μενάνδρου,tertiary,FALSE,63.617,"LINESTRING (23.725926 37.985959, 23.7258515 37.9856607, 23.7257879 37.9854144, 23.7257836 37.985398)",,,,
95663376,95663493,9566337695663493,#N/A,0,32357772,TRUE,,Βερανζέρου,residential,FALSE,65.814,"LINESTRING (23.725926 37.985959, 23.7253021 37.9860548, 23.7252449 37.9860636, 23.7251889 37.9860722)",,6,,
95663377,11256819883,9566337711256819883,#N/A,0,10741722,TRUE,2,Μενάνδρου,tertiary,FALSE,51.996,"LINESTRING (23.7257836 37.985398, 23.7256652 37.9849398)",,,,
95663377,95663386,9566337795663386,#N/A,0,10741731,TRUE,,Σατωβριάνδου,residential,FALSE,112.79,"LINESTRING (23.7257836 37.985398, 23.7269776 37.9852219, 23.7270486 37.9852114)",,,,
95663385,95663386,9566338595663386,#N/A,0,10976960,TRUE,2,Σωκράτους,tertiary,FALSE,62.776999999999994,"LINESTRING (23.7271846 37.9857657, 23.7271768 37.9857338, 23.7271167 37.9854888, 23.7270659 37.9852818, 23.7270626 37.9852687, 23.7270486 37.9852114)",,,,
95663385,95663376,9566338595663376,#N/A,0,32357772,TRUE,,Βερανζέρου,residential,FALSE,112.378,"LINESTRING (23.7271846 37.9857657, 23.7271282 37.9857744, 23.725926 37.985959)",,6,,
