ori,des,path,shortest_path,Same
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,Yes
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,Yes
390,325,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,Yes
395,80,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,Yes
395,382,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382,Yes
395,260,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_276_267_265_262_261_260,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_276_267_265_262_261_260,Yes
345,88,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,Yes
393,392,393_95_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,393_95_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,Yes
324,233,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233,Yes
283,181,283_21_85_314_347_83_77_75_310_236_376_231_198_196_195_181,283_21_85_314_347_83_77_75_310_236_376_231_198_196_195_181,Yes
55,392,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,Yes
324,208,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208,Yes
324,8,324_326_280_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,324_326_280_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,Yes
374,398,374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_21_84_81_117_302_388_387_403_398,374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_81_117_302_388_387_403_398,No
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,Yes
395,251,395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251,395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251,Yes
345,245,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245,Yes
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,Yes
331,392,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,Yes
300,392,300_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,300_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,Yes
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,Yes
395,306,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306,Yes
324,392,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,Yes
248,257,248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_173_257,248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_173_257,Yes
367,325,367_400_286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,367_400_286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,Yes
400,392,400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,Yes
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,Yes
345,239,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239,Yes
231,392,231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,Yes
390,241,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241,Yes
283,251,283_21_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251,283_21_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251,Yes
390,392,390_344_168_374_156_157_176_177_189_191_193_180_315_185_179_418_251_164_174_159_167_166_392,390_344_168_373_167_166_392,No
345,306,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_81_117_301_382_275_273_372_306,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_81_117_301_382_275_273_372_306,Yes
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,Yes
324,234,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234,Yes
137,179,137_135_320_131_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,137_135_320_131_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,Yes
345,34,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34,Yes
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,Yes
144,392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,Yes
345,306,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_80_118_124_116_278_275_273_372_306,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_81_117_301_382_275_273_372_306,No
324,179,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179,Yes
324,33,324_326_280_397_385_91_85_314_347_83_77_75_310_237_232_33,324_326_280_397_385_91_85_314_347_83_77_75_310_237_232_33,Yes
324,240,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,324_326_280_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_70_56_9_11_421_240,No
55,185,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185,Yes
144,392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,Yes
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,Yes
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,Yes
324,154,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154,Yes
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,Yes
326,240,326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,326_280_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_70_56_9_11_421_240,No
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,Yes
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,Yes
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,Yes
345,32,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_32,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_32,Yes
48,4,48_45_43_37_39_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,48_45_43_37_39_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,Yes
300,392,300_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,300_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,Yes
324,234,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234,Yes
15,392,15_34_33_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15_34_33_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,Yes
