ori,des,path,len
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,1516
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,1516
390,325,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,2144
395,80,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,771
395,382,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382,941
395,260,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_276_267_265_262_261_260,1337
345,88,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,2086
393,392,393_95_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1339
324,233,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233,968
283,181,283_21_85_314_347_83_77_75_310_236_376_231_198_196_195_181,1147
55,392,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1920
324,208,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208,1249
324,8,324_326_280_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,1119
374,398,374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_81_117_302_388_387_403_398,1953
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
395,251,395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251,1522
345,245,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245,1339
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,1283
331,392,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1804
300,392,300_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1135
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
395,306,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306,1073
324,392,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,2098
248,257,248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_173_257,1296
367,325,367_400_286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,1418
400,392,400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,1419
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
345,239,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239,1452
231,392,231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1135
390,241,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241,1500
283,251,283_21_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251,1561
