episode,step,state,action,next_state,chosen_action_reward,max_reward_action,max_reward,action_reward
1,1,47,1.0,45,1.09783935546875,1.0,1.09783935546875,
1,1,47,0.0,45,,,,1.0319756269454956
1,1,47,1.0,45,,,,1.09783935546875
1,2,45,2.0,42,1.2863796949386597,1.0,1.402185320854187,
1,2,45,0.0,42,,,,1.319151759147644
1,2,45,1.0,42,,,,1.402185320854187
1,2,45,2.0,42,,,,1.2863796949386597
1,3,42,0.0,38,1.0201395750045776,1.0,1.0911377668380737,
1,3,42,0.0,38,,,,1.0201395750045776
1,3,42,1.0,38,,,,1.0911377668380737
1,4,38,1.0,36,1.0962560176849365,1.0,1.0962560176849365,
1,4,38,0.0,36,,,,1.0263179540634155
1,4,38,1.0,36,,,,1.0962560176849365
1,5,36,1.0,247,1.407194972038269,1.0,1.407194972038269,
1,5,36,0.0,247,,,,1.323962688446045
1,5,36,1.0,247,,,,1.407194972038269
1,5,36,2.0,247,,,,1.2873713970184326
2,1,195,1.0,194,1.1008353233337402,1.0,1.1008353233337402,
2,1,195,0.0,194,,,,1.0264101028442383
2,1,195,1.0,194,,,,1.1008353233337402
2,2,194,1.0,181,1.0946018695831299,1.0,1.0946018695831299,
2,2,194,0.0,181,,,,1.022331714630127
2,2,194,1.0,181,,,,1.0946018695831299
2,3,181,1.0,313,1.0988545417785645,1.0,1.0988545417785645,
2,3,181,0.0,313,,,,1.025139570236206
2,3,181,1.0,313,,,,1.0988545417785645
2,4,313,1.0,183,1.0932646989822388,1.0,1.0932646989822388,
2,4,313,0.0,183,,,,1.0229473114013672
2,4,313,1.0,183,,,,1.0932646989822388
2,5,183,1.0,180,1.0962376594543457,1.0,1.0962376594543457,
2,5,183,0.0,180,,,,1.025763988494873
2,5,183,1.0,180,,,,1.0962376594543457
2,6,180,2.0,418,1.2994143962860107,1.0,1.4008406400680542,
2,6,180,0.0,418,,,,1.3180222511291504
2,6,180,1.0,418,,,,1.4008406400680542
2,6,180,2.0,418,,,,1.2994143962860107
2,7,418,1.0,249,1.0956815481185913,1.0,1.0956815481185913,
2,7,418,0.0,249,,,,1.0266419649124146
2,7,418,1.0,249,,,,1.0956815481185913
2,8,249,1.0,165,1.0919708013534546,1.0,1.0919708013534546,
2,8,249,0.0,165,,,,1.0219600200653076
2,8,249,1.0,165,,,,1.0919708013534546
2,9,165,1.0,175,1.0944159030914307,1.0,1.0944159030914307,
