Test Trajectory,Learner Trajectory,Test Actions,Learner Actions,Test Rewards,Learner Rewards,Test Return,Learner Return
48_45_43_38_36_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,48_45_43_38_36_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,1_2_0_1_2_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1_2_0_1_2_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.027940273284912_1.4056086540222168_1.0946067571640015_1.0603240728378296_1.4182642698287964_1.0555310249328613_1.1145349740982056_1.0355693101882935_1.0738165378570557_0.6906726956367493_1.0381228923797607_1.0666115283966064_1.055909514427185_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,1.027940273284912_1.4056086540222168_1.0946067571640015_1.0603240728378296_1.4182642698287964_1.0555310249328613_1.1145349740982056_1.0355693101882935_1.0738165378570557_0.6906726956367493_1.0381228923797607_1.0666115283966064_1.055909514427185_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,19.283350348472595,19.283350348472595
48_45_43_38_36_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,48_45_43_38_36_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,1_2_0_1_2_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1_2_0_1_2_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.027940273284912_1.4056086540222168_1.0946067571640015_1.0603240728378296_1.4182642698287964_1.0555310249328613_1.1145349740982056_1.0355693101882935_1.0738165378570557_0.6906726956367493_1.0381228923797607_1.0666115283966064_1.055909514427185_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,1.027940273284912_1.4056086540222168_1.0946067571640015_1.0603240728378296_1.4182642698287964_1.0555310249328613_1.1145349740982056_1.0355693101882935_1.0738165378570557_0.6906726956367493_1.0381228923797607_1.0666115283966064_1.055909514427185_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,19.283350348472595,19.283350348472595
345_169_369_168_374_156_157_176_177_188_146_148_227_151_152_154_4,345_169_369_168_374_156_157_176_177_189_190_211_202_234_200_208_145_146_148_227_151_152_154_4,1_0_0_1_1_0_0_0_1_1_0_0_2_0_1_0,1_0_0_1_1_0_0_0_0_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.0535610914230347_1.1090927124023438_0.673710286617279_1.039406418800354_1.0721874237060547_1.096144676208496_0.6539045572280884_0.7077034711837769_1.0122076272964478_1.0955959558486938_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,1.0535610914230347_1.1090927124023438_0.673710286617279_1.039406418800354_1.0721874237060547_1.096144676208496_0.6539045572280884_0.7077034711837769_1.0849906206130981_1.0669914484024048_0.6613524556159973_1.0590238571166992_1.0664763450622559_0.6906726956367493_1.0381228923797607_1.0666115283966064_1.055909514427185_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,14.65935206413269,21.341699838638306
345_169_369_168_374_156_157_176_177_188_146_148_227_151_152_154_4,345_169_369_168_374_156_157_176_177_189_190_211_202_234_200_208_145_146_148_227_151_152_154_4,1_0_0_1_1_0_0_0_1_1_0_0_2_0_1_0,1_0_0_1_1_0_0_0_0_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.0535610914230347_1.1090927124023438_0.673710286617279_1.039406418800354_1.0721874237060547_1.096144676208496_0.6539045572280884_0.7077034711837769_1.0122076272964478_1.0955959558486938_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,1.0535610914230347_1.1090927124023438_0.673710286617279_1.039406418800354_1.0721874237060547_1.096144676208496_0.6539045572280884_0.7077034711837769_1.0849906206130981_1.0669914484024048_0.6613524556159973_1.0590238571166992_1.0664763450622559_0.6906726956367493_1.0381228923797607_1.0666115283966064_1.055909514427185_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,14.65935206413269,21.341699838638306
345_169_369_168_374_156_157_176_177_188_146_148_227_151_152_154_4,345_169_369_168_374_156_157_176_177_189_190_211_202_234_200_208_145_146_148_227_151_152_154_4,1_0_0_1_1_0_0_0_1_1_0_0_2_0_1_0,1_0_0_1_1_0_0_0_0_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.0535610914230347_1.1090927124023438_0.673710286617279_1.039406418800354_1.0721874237060547_1.096144676208496_0.6539045572280884_0.7077034711837769_1.0122076272964478_1.0955959558486938_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,1.0535610914230347_1.1090927124023438_0.673710286617279_1.039406418800354_1.0721874237060547_1.096144676208496_0.6539045572280884_0.7077034711837769_1.0849906206130981_1.0669914484024048_0.6613524556159973_1.0590238571166992_1.0664763450622559_0.6906726956367493_1.0381228923797607_1.0666115283966064_1.055909514427185_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,14.65935206413269,21.341699838638306
390_344_168_374_156_157_176_177_188_146_148_227_151_152_154_4,390_342_369_168_374_156_157_176_177_189_190_211_202_234_200_208_145_146_148_227_151_152_154_4,0_0_1_1_0_0_0_1_1_0_0_2_0_1_0,1_0_0_1_1_0_0_0_0_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.0666508674621582_0.7140470743179321_1.039406418800354_1.0721874237060547_1.096144676208496_0.6539045572280884_0.7077034711837769_1.0122076272964478_1.0955959558486938_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,1.0206598043441772_1.1636525392532349_0.673710286617279_1.039406418800354_1.0721874237060547_1.096144676208496_0.6539045572280884_0.7077034711837769_1.0849906206130981_1.0669914484024048_0.6613524556159973_1.0590238571166992_1.0664763450622559_0.6906726956367493_1.0381228923797607_1.0666115283966064_1.055909514427185_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,13.603685915470123,21.36335837841034
390_344_168_374_156_157_176_177_188_146_148_227_151_152_154_4,390_342_369_168_374_156_157_176_177_189_190_211_202_234_200_208_145_146_148_227_151_152_154_4,0_0_1_1_0_0_0_1_1_0_0_2_0_1_0,1_0_0_1_1_0_0_0_0_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.0666508674621582_0.7140470743179321_1.039406418800354_1.0721874237060547_1.096144676208496_0.6539045572280884_0.7077034711837769_1.0122076272964478_1.0955959558486938_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,1.0206598043441772_1.1636525392532349_0.673710286617279_1.039406418800354_1.0721874237060547_1.096144676208496_0.6539045572280884_0.7077034711837769_1.0849906206130981_1.0669914484024048_0.6613524556159973_1.0590238571166992_1.0664763450622559_0.6906726956367493_1.0381228923797607_1.0666115283966064_1.055909514427185_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,13.603685915470123,21.36335837841034
395_7_340_27_72_409_365_362_358_380_379_38_36_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,395_7_340_27_72_409_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,0_0_0_0_0_0_0_0_0_1_0_1_2_1_0_1_1_0_1_1_1_0_0_2_0_1_0,0_0_0_0_0_1_1_2_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.074560523033142_0.6763775944709778_0.6804298162460327_1.0990632772445679_0.6780106425285339_1.1437039375305176_1.0926352739334106_0.6757752895355225_1.1013977527618408_1.0249056816101074_1.0688843727111816_1.0603240728378296_1.4182642698287964_1.0555310249328613_1.1145349740982056_1.0355693101882935_1.0738165378570557_0.6906726956367493_1.0381228923797607_1.0666115283966064_1.055909514427185_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,1.074560523033142_0.6763775944709778_0.6804298162460327_1.0990632772445679_0.6780106425285339_1.0672168731689453_1.070428490638733_1.370301604270935_1.0555310249328613_1.1145349740982056_1.0355693101882935_1.0738165378570557_0.6906726956367493_1.0381228923797607_1.0666115283966064_1.055909514427185_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,26.0709388256073,20.992995142936707
413_250_410_411_184_183_177_188_146_148_227_151_152_154_4,413_250_410_412_187_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,0_0_1_0_0_0_1_1_0_0_2_0_1_0,0_0_0_0_N/A_1_1_2_1_0_1_1_0_1_1_1_0_0_2_0_1_0,0.6724568009376526_0.6840328574180603_1.0313431024551392_1.1286859512329102_1.080042839050293_0.715518593788147_1.0122076272964478_1.0955959558486938_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,0.6724568009376526_0.6840328574180603_1.105039358139038_1.066243290901184_N/A_1.0362136363983154_1.070428490638733_1.370301604270935_1.0555310249328613_1.1145349740982056_1.0355693101882935_1.0738165378570557_0.6906726956367493_1.0381228923797607_1.0666115283966064_1.055909514427185_0.6791098117828369_0.6757113933563232_1.399293065071106_0.675617516040802_1.0481739044189453_0.6679321527481079,12.565721571445465,20.281322360038757
390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_46_41_378_381_352_1_127_408_71_26_341_8,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_46_41_378_381_352_1_127_408_71_26_341_8,0_0_1_1_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1_1_2_0_0_0_1_0_0_1_0_0_0_1,0_0_1_1_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1_1_2_0_0_0_1_0_0_1_0_0_0_1,1.0776647329330444_0.7177711725234985_1.025238275527954_1.0802044868469238_1.0971925258636475_0.6532637476921082_0.7088946104049683_1.0907706022262573_1.0647664070129395_0.6577284932136536_1.0602766275405884_1.108422040939331_1.1171374320983887_0.6757218241691589_1.0962287187576294_1.1091105937957764_1.1011946201324463_1.0973044633865356_1.0547236204147339_1.0581353902816772_1.3856639862060547_1.0880013704299927_1.1034536361694336_0.6663774847984314_1.0625046491622925_1.0922452211380005_0.6783720254898071_1.0552726984024048_1.0919841527938843_0.6737179160118103_0.6755334138870239_1.0623557567596436,1.0776647329330444_0.7177711725234985_1.025238275527954_1.0802044868469238_1.0971925258636475_0.6532637476921082_0.7088946104049683_1.0907706022262573_1.0647664070129395_0.6577284932136536_1.0602766275405884_1.108422040939331_1.1171374320983887_0.6757218241691589_1.0962287187576294_1.1091105937957764_1.1011946201324463_1.0973044633865356_1.0547236204147339_1.0581353902816772_1.3856639862060547_1.0880013704299927_1.1034536361694336_0.6663774847984314_1.0625046491622925_1.0922452211380005_0.6783720254898071_1.0552726984024048_1.0919841527938843_0.6737179160118103_0.6755334138870239_1.0623557567596436,31.28723269701004,31.28723269701004
