episode,step,state,action,next_state,chosen_action_reward,max_reward_action,max_reward,action_reward
1,1,47,1.0,45,1.0881016254425049,1.0,1.0881016254425049,
1,1,47,0.0,45,,,,1.006569266319275
1,1,47,1.0,45,,,,1.0881016254425049
1,2,45,2.0,42,1.2928037643432617,1.0,1.4354850053787231,
1,2,45,0.0,42,,,,1.3439658880233765
1,2,45,1.0,42,,,,1.4354850053787231
1,2,45,2.0,42,,,,1.2928037643432617
1,3,42,0.0,38,1.038399577140808,1.0,1.1184484958648682,
1,3,42,0.0,38,,,,1.038399577140808
1,3,42,1.0,38,,,,1.1184484958648682
1,4,38,1.0,36,1.126541256904602,1.0,1.126541256904602,
1,4,38,0.0,36,,,,1.0417593717575073
1,4,38,1.0,36,,,,1.126541256904602
1,5,36,1.0,247,1.4504427909851074,1.0,1.4504427909851074,
1,5,36,0.0,247,,,,1.353723406791687
1,5,36,1.0,247,,,,1.4504427909851074
1,5,36,2.0,247,,,,1.3066331148147583
2,1,195,1.0,194,1.1388540267944336,1.0,1.1388540267944336,
2,1,195,0.0,194,,,,1.0588048696517944
2,1,195,1.0,194,,,,1.1388540267944336
2,2,194,1.0,181,1.1148076057434082,1.0,1.1148076057434082,
2,2,194,0.0,181,,,,1.0392203330993652
2,2,194,1.0,181,,,,1.1148076057434082
2,3,181,1.0,313,1.121343970298767,1.0,1.121343970298767,
2,3,181,0.0,313,,,,1.0415966510772705
2,3,181,1.0,313,,,,1.121343970298767
2,4,313,1.0,183,1.1204833984375,1.0,1.1204833984375,
2,4,313,0.0,183,,,,1.0433493852615356
2,4,313,1.0,183,,,,1.1204833984375
2,5,183,1.0,180,1.093944787979126,1.0,1.093944787979126,
2,5,183,0.0,180,,,,1.0181089639663696
2,5,183,1.0,180,,,,1.093944787979126
2,6,180,2.0,418,1.318356990814209,1.0,1.4656720161437988,
2,6,180,0.0,418,,,,1.365310788154602
2,6,180,1.0,418,,,,1.4656720161437988
2,6,180,2.0,418,,,,1.318356990814209
2,7,418,1.0,249,1.1241626739501953,1.0,1.1241626739501953,
2,7,418,0.0,249,,,,1.0436992645263672
2,7,418,1.0,249,,,,1.1241626739501953
2,8,249,1.0,165,1.1197898387908936,1.0,1.1197898387908936,
2,8,249,0.0,165,,,,1.0447839498519897
2,8,249,1.0,165,,,,1.1197898387908936
2,9,165,1.0,175,1.1271637678146362,1.0,1.1271637678146362,
2,9,165,0.0,175,,,,1.0466792583465576
2,9,165,1.0,175,,,,1.1271637678146362
2,10,175,0.0,160,0.6737277507781982,0.0,0.6737277507781982,
2,10,175,0.0,160,,,,0.6737277507781982
2,11,160,0.0,168,0.679852306842804,0.0,0.679852306842804,
2,11,160,0.0,168,,,,0.679852306842804
2,12,168,1.0,167,1.1164799928665161,1.0,1.1164799928665161,
2,12,168,0.0,167,,,,1.0367300510406494
2,12,168,1.0,167,,,,1.1164799928665161
2,13,167,0.0,393,1.0057634115219116,1.0,1.0854065418243408,
2,13,167,0.0,393,,,,1.0057634115219116
2,13,167,1.0,393,,,,1.0854065418243408
3,1,281,1.0,21,1.1100760698318481,1.0,1.1100760698318481,
3,1,281,0.0,21,,,,1.0279597043991089
3,1,281,1.0,21,,,,1.1100760698318481
3,2,21,0.0,85,1.0927399396896362,1.0,1.1806530952453613,
3,2,21,0.0,85,,,,1.0927399396896362
3,2,21,1.0,85,,,,1.1806530952453613
3,3,85,1.0,312,1.1227104663848877,1.0,1.1227104663848877,
3,3,85,0.0,312,,,,1.0421637296676636
3,3,85,1.0,312,,,,1.1227104663848877
3,4,312,0.0,348,0.6659449934959412,0.0,0.6659449934959412,
3,4,312,0.0,348,,,,0.6659449934959412
3,5,348,1.0,83,1.0982954502105713,1.0,1.0982954502105713,
3,5,348,0.0,83,,,,1.0193595886230469
3,5,348,1.0,83,,,,1.0982954502105713
3,6,83,2.0,77,1.3207547664642334,1.0,1.4654731750488281,
3,6,83,0.0,77,,,,1.3715530633926392
3,6,83,1.0,77,,,,1.4654731750488281
3,6,83,2.0,77,,,,1.3207547664642334
3,7,77,0.0,75,1.040872573852539,1.0,1.1199222803115845,
3,7,77,0.0,75,,,,1.040872573852539
3,7,77,1.0,75,,,,1.1199222803115845
3,8,75,1.0,308,1.120544672012329,1.0,1.120544672012329,
3,8,75,0.0,308,,,,1.0401592254638672
3,8,75,1.0,308,,,,1.120544672012329
3,9,308,0.0,235,1.0356851816177368,1.0,1.1131974458694458,
3,9,308,0.0,235,,,,1.0356851816177368
3,9,308,1.0,235,,,,1.1131974458694458
3,10,235,1.0,231,1.0919334888458252,1.0,1.0919334888458252,
3,10,235,0.0,231,,,,1.013793706893921
3,10,235,1.0,231,,,,1.0919334888458252
3,11,231,1.0,232,1.1316980123519897,1.0,1.1316980123519897,
3,11,231,0.0,232,,,,1.0491758584976196
3,11,231,1.0,232,,,,1.1316980123519897
3,12,232,0.0,199,0.6886972784996033,0.0,0.6886972784996033,
3,12,232,0.0,199,,,,0.6886972784996033
3,13,199,1.0,207,1.0922703742980957,1.0,1.0922703742980957,
3,13,199,0.0,207,,,,1.0165587663650513
3,13,199,1.0,207,,,,1.0922703742980957
3,14,207,1.0,146,1.1239960193634033,1.0,1.1239960193634033,
3,14,207,0.0,146,,,,1.045434594154358
3,14,207,1.0,146,,,,1.1239960193634033
3,15,146,1.0,147,1.1121506690979004,1.0,1.1121506690979004,
3,15,146,0.0,147,,,,1.0351933240890503
3,15,146,1.0,147,,,,1.1121506690979004
3,16,147,0.0,149,0.6759611964225769,0.0,0.6759611964225769,
3,16,147,0.0,149,,,,0.6759611964225769
3,17,149,0.0,225,0.6714385151863098,0.0,0.6714385151863098,
3,17,149,0.0,225,,,,0.6714385151863098
4,1,391,0.0,345,1.362604022026062,1.0,1.4653620719909668,
4,1,391,0.0,345,,,,1.362604022026062
4,1,391,1.0,345,,,,1.4653620719909668
4,1,391,2.0,345,,,,1.307861566543579
4,2,345,0.0,169,0.6907783150672913,0.0,0.6907783150672913,
4,2,345,0.0,169,,,,0.6907783150672913
4,3,169,1.0,375,1.0849207639694214,1.0,1.0849207639694214,
4,3,169,0.0,375,,,,1.008384346961975
4,3,169,1.0,375,,,,1.0849207639694214
4,4,375,1.0,157,1.1387383937835693,1.0,1.1387383937835693,
4,4,375,0.0,157,,,,1.0569508075714111
4,4,375,1.0,157,,,,1.1387383937835693
4,5,157,0.0,158,1.0395591259002686,1.0,1.1171890497207642,
4,5,157,0.0,158,,,,1.0395591259002686
4,5,157,1.0,158,,,,1.1171890497207642
4,6,158,0.0,177,0.648772656917572,0.0,0.648772656917572,
4,6,158,0.0,177,,,,0.648772656917572
4,7,177,0.0,178,0.7019505500793457,0.0,0.7019505500793457,
4,7,177,0.0,178,,,,0.7019505500793457
5,1,281,1.0,21,1.1112842559814453,1.0,1.1112842559814453,
5,1,281,0.0,21,,,,1.0300843715667725
5,1,281,1.0,21,,,,1.1112842559814453
5,2,21,0.0,85,1.090704321861267,1.0,1.1773555278778076,
5,2,21,0.0,85,,,,1.090704321861267
5,2,21,1.0,85,,,,1.1773555278778076
5,3,85,1.0,312,1.1230731010437012,1.0,1.1230731010437012,
5,3,85,0.0,312,,,,1.04427170753479
5,3,85,1.0,312,,,,1.1230731010437012
5,4,312,0.0,348,0.6682553887367249,0.0,0.6682553887367249,
5,4,312,0.0,348,,,,0.6682553887367249
5,5,348,1.0,83,1.1022108793258667,1.0,1.1022108793258667,
5,5,348,0.0,83,,,,1.0266438722610474
5,5,348,1.0,83,,,,1.1022108793258667
5,6,83,2.0,77,1.311950445175171,1.0,1.4590861797332764,
5,6,83,0.0,77,,,,1.3665051460266113
5,6,83,1.0,77,,,,1.4590861797332764
5,6,83,2.0,77,,,,1.311950445175171
5,7,77,0.0,75,1.0445352792739868,1.0,1.1199922561645508,
5,7,77,0.0,75,,,,1.0445352792739868
5,7,77,1.0,75,,,,1.1199922561645508
5,8,75,1.0,308,1.1202112436294556,1.0,1.1202112436294556,
5,8,75,0.0,308,,,,1.0426037311553955
5,8,75,1.0,308,,,,1.1202112436294556
5,9,308,1.0,234,1.0770955085754395,1.0,1.0770955085754395,
5,9,308,0.0,234,,,,0.9991649389266968
5,9,308,1.0,234,,,,1.0770955085754395
5,10,234,1.0,377,1.1193121671676636,1.0,1.1193121671676636,
5,10,234,0.0,377,,,,1.0362082719802856
5,10,234,1.0,377,,,,1.1193121671676636
5,11,377,0.0,229,0.6817612051963806,0.0,0.6817612051963806,
5,11,377,0.0,229,,,,0.6817612051963806
5,12,229,1.0,197,1.1140122413635254,1.0,1.1140122413635254,
5,12,229,0.0,197,,,,1.0331838130950928
5,12,229,1.0,197,,,,1.1140122413635254
5,13,197,1.0,195,1.1094107627868652,1.0,1.1094107627868652,
5,13,197,0.0,195,,,,1.0305542945861816
5,13,197,1.0,195,,,,1.1094107627868652
5,14,195,1.0,194,1.1386727094650269,1.0,1.1386727094650269,
5,14,195,0.0,194,,,,1.057640790939331
5,14,195,1.0,194,,,,1.1386727094650269
5,15,194,1.0,181,1.1132988929748535,1.0,1.1132988929748535,
