Test Trajectory,Learner Trajectory,Test Actions,Learner Actions,Test Rewards,Learner Rewards,Test Return,Learner Return
48_45_43_38_36_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,48_45_42_47_355_19_24_349_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,1_2_0_1_2_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1_0_0_0_0_0_0_1_0_1_2_0_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.2245115041732788_1.4614999294281006_1.0830657482147217_1.1892496347427368_1.4266119003295898_1.1846816539764404_1.0945179462432861_1.1612495183944702_1.2052315473556519_0.7317656874656677_1.164273738861084_1.1965320110321045_1.1821508407592773_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,1.2245115041732788_1.3295578956604004_1.088465690612793_0.7052322626113892_1.0996408462524414_1.0681300163269043_1.0845600366592407_1.1892770528793335_0.7134566903114319_1.1776739358901978_1.4805963039398193_1.0851267576217651_1.1889848709106445_1.0798019170761108_1.1612495183944702_1.2052315473556519_0.7317656874656677_1.164273738861084_1.1965320110321045_1.1821508407592773_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,20.846520483493805,27.6973979473114
48_45_43_38_36_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,48_45_42_47_355_19_24_349_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,1_2_0_1_2_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1_0_0_0_0_0_0_1_0_1_2_0_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.2245115041732788_1.4614999294281006_1.0830657482147217_1.1892496347427368_1.4266119003295898_1.1846816539764404_1.0945179462432861_1.1612495183944702_1.2052315473556519_0.7317656874656677_1.164273738861084_1.1965320110321045_1.1821508407592773_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,1.2245115041732788_1.3295578956604004_1.088465690612793_0.7052322626113892_1.0996408462524414_1.0681300163269043_1.0845600366592407_1.1892770528793335_0.7134566903114319_1.1776739358901978_1.4805963039398193_1.0851267576217651_1.1889848709106445_1.0798019170761108_1.1612495183944702_1.2052315473556519_0.7317656874656677_1.164273738861084_1.1965320110321045_1.1821508407592773_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,20.846520483493805,27.6973979473114
345_169_369_168_374_156_157_176_177_188_146_148_227_151_152_154_4,345_169_370_402_4,1_0_0_1_1_0_0_0_1_1_0_0_2_0_1_0,1_1_0_0,1.1853805780410767_1.0711110830307007_0.7178223729133606_1.1494216918945312_1.2146263122558594_1.089259386062622_0.6775369048118591_0.7635217905044556_1.2099486589431763_1.1511355638504028_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,1.1853805780410767_1.1793553829193115_0.6925703883171082_0.7522991895675659,15.77094316482544,3.8096055388450623
345_169_369_168_374_156_157_176_177_188_146_148_227_151_152_154_4,345_169_370_402_4,1_0_0_1_1_0_0_0_1_1_0_0_2_0_1_0,1_1_0_0,1.1853805780410767_1.0711110830307007_0.7178223729133606_1.1494216918945312_1.2146263122558594_1.089259386062622_0.6775369048118591_0.7635217905044556_1.2099486589431763_1.1511355638504028_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,1.1853805780410767_1.1793553829193115_0.6925703883171082_0.7522991895675659,15.77094316482544,3.8096055388450623
345_169_369_168_374_156_157_176_177_188_146_148_227_151_152_154_4,345_169_370_402_4,1_0_0_1_1_0_0_0_1_1_0_0_2_0_1_0,1_1_0_0,1.1853805780410767_1.0711110830307007_0.7178223729133606_1.1494216918945312_1.2146263122558594_1.089259386062622_0.6775369048118591_0.7635217905044556_1.2099486589431763_1.1511355638504028_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,1.1853805780410767_1.1793553829193115_0.6925703883171082_0.7522991895675659,15.77094316482544,3.8096055388450623
390_344_168_374_156_157_176_177_188_146_148_227_151_152_154_4,390_344_168_374_156_157_176_177_189_190_211_202_234_200_208_145_146_148_227_151_152_154_4,0_0_1_1_0_0_0_1_1_0_0_2_0_1_0,0_0_1_1_0_0_0_0_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.0752465724945068_0.7493131160736084_1.1494216918945312_1.2146263122558594_1.089259386062622_0.6775369048118591_0.7635217905044556_1.2099486589431763_1.1511355638504028_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,1.0752465724945068_0.7493131160736084_1.1494216918945312_1.2146263122558594_1.089259386062622_0.6775369048118591_0.7635217905044556_1.0760890245437622_1.2004706859588623_0.6993715167045593_1.191286563873291_1.193536400794983_0.7317656874656677_1.164273738861084_1.1965320110321045_1.1821508407592773_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,14.621188819408417,21.89558106660843
390_344_168_374_156_157_176_177_188_146_148_227_151_152_154_4,390_344_168_374_156_157_176_177_189_190_211_202_234_200_208_145_146_148_227_151_152_154_4,0_0_1_1_0_0_0_1_1_0_0_2_0_1_0,0_0_1_1_0_0_0_0_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.0752465724945068_0.7493131160736084_1.1494216918945312_1.2146263122558594_1.089259386062622_0.6775369048118591_0.7635217905044556_1.2099486589431763_1.1511355638504028_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,1.0752465724945068_0.7493131160736084_1.1494216918945312_1.2146263122558594_1.089259386062622_0.6775369048118591_0.7635217905044556_1.0760890245437622_1.2004706859588623_0.6993715167045593_1.191286563873291_1.193536400794983_0.7317656874656677_1.164273738861084_1.1965320110321045_1.1821508407592773_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,14.621188819408417,21.89558106660843
395_7_340_27_72_409_365_362_358_380_379_38_36_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,395_7_340_27_72_409_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,0_0_0_0_0_0_0_0_0_1_0_1_2_1_0_1_1_0_1_1_1_0_0_2_0_1_0,0_0_0_0_0_1_1_2_1_0_1_1_0_1_1_1_0_0_2_0_1_0,1.085827112197876_0.7078872323036194_0.70918869972229_1.0697481632232666_0.7074694633483887_1.1022056341171265_1.073150873184204_0.7183693051338196_1.079603672027588_1.2083518505096436_1.0834366083145142_1.1892496347427368_1.4266119003295898_1.1846816539764404_1.0945179462432861_1.1612495183944702_1.2052315473556519_0.7317656874656677_1.164273738861084_1.1965320110321045_1.1821508407592773_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,1.085827112197876_0.7078872323036194_0.70918869972229_1.0697481632232666_0.7074694633483887_1.2040168046951294_1.1978366374969482_1.4442352056503296_1.1846816539764404_1.0945179462432861_1.1612495183944702_1.2052315473556519_0.7317656874656677_1.164273738861084_1.1965320110321045_1.1821508407592773_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,27.62268191576004,22.587791085243225
413_250_410_411_184_183_177_188_146_148_227_151_152_154_4,413_250_410_411_184_183_177_189_190_211_202_234_200_208_145_146_148_227_151_152_154_4,0_0_1_0_0_0_1_1_0_0_2_0_1_0,0_0_1_0_0_0_0_1_0_1_1_0_1_1_1_0_0_2_0_1_0,0.698302686214447_0.7155815958976746_1.2213118076324463_1.101128339767456_1.0625635385513306_0.7067817449569702_1.2099486589431763_1.1511355638504028_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,0.698302686214447_0.7155815958976746_1.2213118076324463_1.101128339767456_1.0625635385513306_0.7067817449569702_1.0760890245437622_1.2004706859588623_0.6993715167045593_1.191286563873291_1.193536400794983_0.7317656874656677_1.164273738861084_1.1965320110321045_1.1821508407592773_0.7218936085700989_0.7167087197303772_1.4643460512161255_0.7174783945083618_1.1550841331481934_0.7656679153442383,13.407932758331299,20.68232500553131
390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_46_41_378_381_352_1_127_408_71_26_341_8,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242_18_59_7_340_27_72_409_365_362_358_381_352_1_127_408_71_26_341_8,0_0_1_1_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1_1_2_0_0_0_1_0_0_1_0_0_0_1,0_0_1_1_0_0_0_0_1_0_1_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1_1_0_0_1_0_0_0_1,1.0585362911224365_0.7435661554336548_1.1606531143188477_1.212108850479126_1.082871437072754_0.676314651966095_0.7636815309524536_1.0746006965637207_1.1962426900863647_0.69504714012146_1.1885931491851807_1.080022931098938_1.0928987264633179_0.7197374105453491_1.1045442819595337_1.0814687013626099_1.0796610116958618_1.087541937828064_1.155759334564209_1.1951844692230225_1.508449673652649_1.0738130807876587_1.094996452331543_0.7100821733474731_1.1964969635009766_1.0330746173858643_0.7090992331504822_1.173622727394104_1.063162088394165_0.705971896648407_0.7087720632553101_1.1799592971801758,1.0585362911224365_0.7435661554336548_1.1606531143188477_1.212108850479126_1.082871437072754_0.676314651966095_0.7636815309524536_1.0746006965637207_1.1962426900863647_0.69504714012146_1.1885931491851807_1.080022931098938_1.1866459846496582_1.0824306011199951_1.0908169746398926_0.7339205741882324_1.092384696006775_1.2040352821350098_1.2980256080627441_0.7096425890922546_0.712273895740509_1.0760778188705444_0.7110791802406311_1.1185399293899536_1.0697407722473145_0.7207933068275452_1.1758155822753906_1.1964969635009766_1.0330746173858643_0.7090992331504822_1.173622727394104_1.063162088394165_0.705971896648407_0.7087720632553101_1.1799592971801758,32.60653477907181,34.68462032079697
